name,id,type,ba,tph,mcs,osi,cc,c1,c2to4,c5to9,c10to14,c15to29,c30to35,aet,cwd,tmn
11,2015,0,27.6628,158.982,5.05265,0.64207,0.380672,0.278633,0.387007,0.172106,0.0920567,0.0600369,0.0101601,301.026,703.982,4.22026
11,2983,3,23.0872,180,5.22634,0.0305556,0.39257,0.256516,0.360768,0.241427,0.0658436,0.0754458,0,300.889,702.533,4.06667
22,1563,2,40.8437,152.039,3.99722,0.215981,0.451673,0.323774,0.379278,0.165587,0.102683,0.0286772,0,407.456,585.785,4
22,33,3,31.2909,149.68,7.33736,1.99318,0.349366,0.292952,0.33272,0.200457,0.0633331,0.074085,0.0364533,409.063,592.001,3.76587
22,76,1,22.1671,118.456,5.58029,6.24576,0.259803,0.295707,0.316375,0.216216,0.0588235,0.112878,0,422.068,616.136,4
23,2153,2,24.0365,146.575,4.45587,0.0776256,0.581312,0.351333,0.382831,0.156456,0.0560748,0.0373832,0.0159225,454.137,606.772,4
23,1454,2,31.5384,138.636,3.09472,0,0.680989,0.397086,0.411658,0.140255,0.0163934,0.0346084,0,449.273,617.477,5
23,33,0,32.2552,132.817,3.28249,0.0206395,0.60622,0.422179,0.388327,0.129767,0.0301556,0.0223735,0.00719844,450.077,620.435,4.95581
23,773,1,18.8816,156.746,4.86667,0.123512,0.532625,0.309705,0.374684,0.186498,0.0632911,0.0658228,0,443.5,623.5,5
23,1590,1,16.651,152.444,3.8758,0.098,0.515642,0.305539,0.427405,0.173761,0.0723032,0.0209913,0,446.624,621,5
23,1926,2,18.091,156.643,4.54665,0.0427989,0.540202,0.313801,0.387047,0.171935,0.0663069,0.0609098,0,446.793,618.326,5
23,1822,0,27.1923,140.943,3.17009,0.0772727,0.546618,0.363115,0.420449,0.171046,0.0301003,0.0143335,0.000955566,446.2,616.091,4
23,4318,1,11.9302,155.123,4.57209,0.706169,0.416262,0.303256,0.329302,0.248372,0.0613953,0.0576744,0,467.571,593.584,5
23,5122,2,19.6221,146.101,4.28019,0.0320724,0.551946,0.327885,0.386925,0.179787,0.0436958,0.0617078,0,466.658,598.912,5.32895
23,3712,0,25.5282,134.49,3.01254,0.12039,0.584954,0.404659,0.413082,0.131541,0.0351254,0.0155914,0,464.978,601.102,5.34056
23,2150,1,14.7806,159.191,7.12236,0.0733025,0.497058,0.297717,0.381301,0.145627,0.0590263,0.0728134,0.0435157,450.451,604.735,4.00617
23,2923,2,14.0685,155.556,2.14286,0,0.5649,0.428571,0.428571,0.142857,0,0,0,440,620,4
23,3099,3,14.4221,167.111,6.74601,0,0.499123,0.292553,0.352394,0.140957,0.081117,0.110372,0.0226064,450.26,606.14,4.38
23,5677,2,17.5044,149.059,3.86314,0.140027,0.529797,0.338086,0.400815,0.170672,0.0639511,0.0264766,0,467.656,599,5.47541
24,88,1,14.6052,157.9,4.05487,0.206995,0.503059,0.307941,0.394448,0.212395,0.0374435,0.0477728,0,464.954,595.11,4.7156
24,2286,0,21.5946,143.187,3.56325,0.0728659,0.537926,0.375047,0.386176,0.168294,0.0423196,0.0253615,0.00280112,464.072,599.784,4.83415
24,2378,1,18.1435,156.818,3.87118,0.12358,0.53329,0.325282,0.42029,0.148148,0.078905,0.0273752,0,472.227,604.273,5.40909
24,2647,2,15.3028,152.826,4.73801,0.225036,0.486934,0.305651,0.387653,0.181761,0.0546328,0.0613183,0.0089836,465.948,602.007,5.07615
24,1783,1,11.3332,158.705,4.7161,0.528051,0.422464,0.275083,0.390849,0.194598,0.0788313,0.0606395,0,463.173,606.724,5
24,1089,1,15.0205,165.134,6.87471,0.358836,0.427554,0.256381,0.341067,0.186775,0.11949,0.0568445,0.0394432,455.31,604.414,4.67241
24,1453,0,22.8873,151.556,3.66862,0,0.587232,0.322581,0.408602,0.189638,0.0674487,0.0117302,0,471.173,600.453,5.2
24,3029,2,19.7353,153.39,5.00767,0.0243644,0.49633,0.320749,0.369552,0.188766,0.0598527,0.0417434,0.019337,473.081,597.246,5.35593
24,2731,1,11.6776,155.083,6.82317,1.21144,0.38876,0.27439,0.323171,0.214939,0.0929878,0.0487805,0.0457317,462.17,583.574,4.85106
24,3308,1,11.6979,145.272,4.01098,0.615691,0.435257,0.327502,0.388934,0.166395,0.083808,0.0333605,0,487.388,606.074,5.90957
25,920,1,13.7314,177.513,14.1256,0.0975765,0.494498,0.217799,0.313604,0.185225,0.0819672,0.0809027,0.120502,499.378,611.656,6.5102
25,89,3,18.2872,182.704,16.0282,0.424433,0.481806,0.201287,0.278493,0.16299,0.0840993,0.0891544,0.183977,501.184,614.071,6.89169
25,974,0,43.6332,140.564,5.56796,0.0681217,0.625226,0.387704,0.370138,0.145546,0.0506064,0.00669176,0.0393141,501.048,616.593,6.75661
25,1167,2,41.9402,138.507,3.16289,0.0391221,0.601732,0.379057,0.417636,0.151868,0.0471525,0,0.00428659,500.863,614.924,6.68702
